timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure
3.007386,-0.006100,0.046604,1.014064,0.000493,-0.002048,-0.000244,-3.340046,-20.361010,43.988991,1016.113037
3.017505,-0.008540,0.046848,1.017236,-0.000717,0.001290,0.000361,-3.353287,-20.417780,43.939850,1016.113037
3.032441,-0.006100,0.047580,1.016016,-0.000404,-0.000834,0.000956,-3.363881,-20.463196,43.630856,1016.113037
3.041238,-0.006100,0.046360,1.015772,-0.000998,-0.000219,0.001240,-3.171608,-20.421129,43.383663,1016.113037
3.050044,-0.006588,0.046604,1.018212,-0.000681,0.000685,0.000018,-3.017789,-20.387476,43.185909,1016.110352
3.060004,-0.009272,0.047092,1.015772,0.001433,0.000974,0.001519,-2.894735,-20.360554,43.027706,1016.110352
3.074934,-0.006344,0.046604,1.015040,0.001108,0.001258,0.000592,-2.796291,-20.339016,42.901142,1016.110352
3.083742,-0.007564,0.047092,1.018944,0.001090,-0.000565,0.000883,-2.717536,-20.075386,43.073265,1016.110352
3.092676,-0.006100,0.046848,1.016504,0.001372,-0.001456,0.000568,-2.816425,-19.864481,43.210964,1016.109863
3.102645,-0.006100,0.046604,1.015040,0.000147,-0.000231,-0.000042,-2.895536,-19.695757,43.321125,1016.109863
3.117636,-0.006100,0.046604,1.016504,-0.000456,0.000974,-0.001844,-2.958825,-19.560778,43.409252,1016.109863
3.126449,-0.006344,0.047336,1.016260,-0.000448,0.000057,-0.000011,-3.009456,-19.452795,43.479755,1016.109863
3.135267,-0.006100,0.045628,1.015772,-0.000140,0.001858,0.001191,-3.062912,-19.528809,43.617432,1016.106689
3.145230,-0.006588,0.046116,1.015528,0.000162,0.001226,0.001171,-3.105677,-19.589619,43.727573,1016.106689
3.160183,-0.005612,0.046360,1.017480,-0.000741,0.001806,-0.000351,-3.139889,-19.638268,43.815685,1016.106689
3.168988,-0.007808,0.047092,1.017968,-0.000729,0.000875,-0.000645,-3.167259,-19.677187,43.886177,1016.106445
3.178949,-0.006100,0.047580,1.016748,-0.000116,-0.000041,-0.000334,-3.189154,-19.708323,43.303459,1016.106445
